기준년월,제주 대분류,제주 중분류,업종명,성별,연령대별,year,month,카드이용금액
2016-04-01,제주시,이도2동,슈퍼마켓,남,40대,2016,4,30177142.51411365
2016-04-01,서귀포시,성산읍,기념품점,여,50대,2016,4,1541825.6583986233
2016-04-01,제주시,애월읍,농축수산품,여,20대,2016,4,1770356.5570314676
2016-04-01,서귀포시,예래동,스넥,남,50대,2016,4,2675054.5114043006
2016-04-01,제주시,연동,기념품점,여,30대,2016,4,2975959.3698753268
2016-04-01,서귀포시,성산읍,기타음료식품,여,40대,2016,4,910466.0421789073
2016-04-01,제주시,용담2동,기타음료식품,남,50대,2016,4,1604977.7366276837
2016-04-01,제주시,용담2동,기념품점,남,20대,2016,4,17789951.313557953
2016-04-01,제주시,용담2동,의원,여,50대,2016,4,449221.61471877946
2016-04-01,서귀포시,남원읍,기타음료식품,여,20대,2016,4,1607569.7770032403
2016-04-01,제주시,노형동,기타음료식품,여,30대,2016,4,712932.5375238821
2016-04-01,서귀포시,대륜동,스넥,남,20대,2016,4,221231.16524345512
2016-04-01,제주시,이도2동,의원,남,50대,2016,4,1397992.843646053
2016-04-01,제주시,노형동,기타음료식품,남,50대,2016,4,1698021.2866937662
2016-04-01,제주시,애월읍,스포츠레져용품,남,40대,2016,4,606957.3552671854
2016-04-01,서귀포시,남원읍,의원,남,40대,2016,4,110286.55056233154
2016-04-01,서귀포시,대륜동,스넥,남,50대,2016,4,299185.56996267603
2016-04-01,제주시,삼도2동,기념품점,여,40대,2016,4,475639.0464389696
2016-04-01,제주시,이도2동,의원,여,30대,2016,4,3915751.675624451
2016-04-01,서귀포시,성산읍,스넥,남,50대,2016,4,1286829.767968564
2016-04-01,제주시,용담2동,기념품점,여,20대,2016,4,31018603.81263031
2016-04-01,제주시,노형동,슈퍼마켓,여,50대,2016,4,8678979.484074695
2016-04-01,서귀포시,남원읍,스포츠레져용품,남,40대,2016,4,304742.8643818267
2016-04-01,서귀포시,남원읍,스포츠레져용품,남,50대,2016,4,471990.67803526175
2016-04-01,서귀포시,성산읍,기타음료식품,남,50대,2016,4,791309.1437906681
2016-04-01,서귀포시,성산읍,기념품점,여,40대,2016,4,3613372.624520297
2016-04-01,제주시,연동,기타음료식품,남,50대,2016,4,648808.4654608816
